group,dimension,birth,death,length
nonrecombinant,0,0.0,0.1034482792019844,0.1034482792019844
nonrecombinant,0,0.0,0.13793103396892548,0.13793103396892548
nonrecombinant,0,0.0,0.17241379618644714,0.17241379618644714
nonrecombinant,0,0.0,0.2068965584039688,0.2068965584039688
nonrecombinant,0,0.0,0.2068965584039688,0.2068965584039688
nonrecombinant,0,0.0,0.2068965584039688,0.2068965584039688
nonrecombinant,0,0.0,0.2068965584039688,0.2068965584039688
nonrecombinant,0,0.0,0.2068965584039688,0.2068965584039688
nonrecombinant,0,0.0,0.2068965584039688,0.2068965584039688
nonrecombinant,0,0.0,0.2068965584039688,0.2068965584039688
nonrecombinant,0,0.0,0.24137930572032928,0.24137930572032928
nonrecombinant,0,0.0,0.24137930572032928,0.24137930572032928
nonrecombinant,0,0.0,0.24137930572032928,0.24137930572032928
nonrecombinant,0,0.0,0.24137930572032928,0.24137930572032928
nonrecombinant,0,0.0,0.24137930572032928,0.24137930572032928
nonrecombinant,0,0.0,0.27586206793785095,0.27586206793785095
nonrecombinant,0,0.0,0.27586206793785095,0.27586206793785095
nonrecombinant,0,0.0,0.27586206793785095,0.27586206793785095
nonrecombinant,0,0.0,0.3103448152542114,0.3103448152542114
nonrecombinant,0,0.0,0.6206896305084229,0.6206896305084229
nonrecombinant,1,0.24137930572032928,0.3103448152542114,0.06896550953388214
