group,dimension,birth,death,length
nonrecombinant,0,0.0,0.032258063554763794,0.032258063554763794
nonrecombinant,0,0.0,0.12903225421905518,0.12903225421905518
nonrecombinant,0,0.0,0.16129031777381897,0.16129031777381897
nonrecombinant,0,0.0,0.16129031777381897,0.16129031777381897
nonrecombinant,0,0.0,0.19354838132858276,0.19354838132858276
nonrecombinant,0,0.0,0.19354838132858276,0.19354838132858276
nonrecombinant,0,0.0,0.19354838132858276,0.19354838132858276
nonrecombinant,0,0.0,0.19354838132858276,0.19354838132858276
nonrecombinant,0,0.0,0.19354838132858276,0.19354838132858276
nonrecombinant,0,0.0,0.19354838132858276,0.19354838132858276
nonrecombinant,0,0.0,0.19354838132858276,0.19354838132858276
nonrecombinant,0,0.0,0.19354838132858276,0.19354838132858276
nonrecombinant,0,0.0,0.22580644488334656,0.22580644488334656
nonrecombinant,0,0.0,0.22580644488334656,0.22580644488334656
nonrecombinant,0,0.0,0.22580644488334656,0.22580644488334656
nonrecombinant,0,0.0,0.22580644488334656,0.22580644488334656
nonrecombinant,0,0.0,0.22580644488334656,0.22580644488334656
nonrecombinant,0,0.0,0.22580644488334656,0.22580644488334656
nonrecombinant,0,0.0,0.22580644488334656,0.22580644488334656
nonrecombinant,0,0.0,0.22580644488334656,0.22580644488334656
nonrecombinant,0,0.0,0.25806450843811035,0.25806450843811035
nonrecombinant,0,0.0,0.25806450843811035,0.25806450843811035
nonrecombinant,0,0.0,0.25806450843811035,0.25806450843811035
nonrecombinant,0,0.0,0.25806450843811035,0.25806450843811035
nonrecombinant,0,0.0,0.25806450843811035,0.25806450843811035
nonrecombinant,0,0.0,0.25806450843811035,0.25806450843811035
nonrecombinant,0,0.0,0.25806450843811035,0.25806450843811035
nonrecombinant,0,0.0,0.25806450843811035,0.25806450843811035
nonrecombinant,0,0.0,0.29032257199287415,0.29032257199287415
nonrecombinant,0,0.0,0.29032257199287415,0.29032257199287415
nonrecombinant,0,0.0,0.29032257199287415,0.29032257199287415
nonrecombinant,0,0.0,0.29032257199287415,0.29032257199287415
nonrecombinant,0,0.0,0.29032257199287415,0.29032257199287415
nonrecombinant,0,0.0,0.29032257199287415,0.29032257199287415
nonrecombinant,0,0.0,0.29032257199287415,0.29032257199287415
nonrecombinant,0,0.0,0.29032257199287415,0.29032257199287415
nonrecombinant,0,0.0,0.29032257199287415,0.29032257199287415
nonrecombinant,0,0.0,0.32258063554763794,0.32258063554763794
nonrecombinant,0,0.0,0.32258063554763794,0.32258063554763794
nonrecombinant,0,0.0,0.32258063554763794,0.32258063554763794
nonrecombinant,0,0.0,0.32258063554763794,0.32258063554763794
nonrecombinant,0,0.0,0.32258063554763794,0.32258063554763794
nonrecombinant,0,0.0,0.35483869910240173,0.35483869910240173
nonrecombinant,0,0.0,0.35483869910240173,0.35483869910240173
nonrecombinant,0,0.0,0.3870967626571655,0.3870967626571655
nonrecombinant,1,0.35483869910240173,0.3870967626571655,0.032258063554763794
nonrecombinant,1,0.35483869910240173,0.4193548262119293,0.06451612710952759
nonrecombinant,1,0.35483869910240173,0.3870967626571655,0.032258063554763794
nonrecombinant,1,0.32258063554763794,0.35483869910240173,0.032258063554763794
nonrecombinant,1,0.32258063554763794,0.35483869910240173,0.032258063554763794
nonrecombinant,1,0.32258063554763794,0.35483869910240173,0.032258063554763794
nonrecombinant,1,0.29032257199287415,0.32258063554763794,0.032258063554763794
nonrecombinant,1,0.29032257199287415,0.32258063554763794,0.032258063554763794
nonrecombinant,1,0.29032257199287415,0.32258063554763794,0.032258063554763794
nonrecombinant,1,0.29032257199287415,0.32258063554763794,0.032258063554763794
nonrecombinant,1,0.29032257199287415,0.32258063554763794,0.032258063554763794
nonrecombinant,1,0.29032257199287415,0.32258063554763794,0.032258063554763794
nonrecombinant,1,0.29032257199287415,0.35483869910240173,0.06451612710952759
nonrecombinant,1,0.25806450843811035,0.29032257199287415,0.032258063554763794
nonrecombinant,1,0.25806450843811035,0.32258063554763794,0.06451612710952759
nonrecombinant,1,0.25806450843811035,0.32258063554763794,0.06451612710952759
nonrecombinant,1,0.25806450843811035,0.29032257199287415,0.032258063554763794
nonrecombinant,1,0.22580644488334656,0.25806450843811035,0.032258063554763794
nonrecombinant,1,0.22580644488334656,0.25806450843811035,0.032258063554763794
nonrecombinant,1,0.22580644488334656,0.25806450843811035,0.032258063554763794
nonrecombinant,1,0.22580644488334656,0.25806450843811035,0.032258063554763794
nonrecombinant,2,0.35483869910240173,0.3870967626571655,0.032258063554763794
nonrecombinant,2,0.35483869910240173,0.3870967626571655,0.032258063554763794
nonrecombinant,2,0.35483869910240173,0.3870967626571655,0.032258063554763794
nonrecombinant,2,0.35483869910240173,0.3870967626571655,0.032258063554763794
nonrecombinant,2,0.32258063554763794,0.35483869910240173,0.032258063554763794
nonrecombinant,2,0.32258063554763794,0.35483869910240173,0.032258063554763794
nonrecombinant,2,0.32258063554763794,0.35483869910240173,0.032258063554763794
nonrecombinant,2,0.32258063554763794,0.35483869910240173,0.032258063554763794
